archivo,carpeta,clase,ruta,ancho_pulg,area_base_pulg2,area_blanca_pulg2,area_def_pulg2,area_mordida_der_pulg2,area_mordida_izq_pulg2,area_mordida_pulg2,area_negra_pulg2,area_punta_pulg2,area_util_der_pulg2,area_util_izq_pulg2,area_util_pulg2,area_vena_pulg2,area_verde_pulg2,asim_area_util,asim_pen_mordida,asimetria_mancha,aspecto,blanca_der_pulg2,blanca_izq_pulg2,cobertura,coc_area,coc_n,dif_area_util,fondo_L_desv,fondo_L_med,fondo_a_med,fondo_b_desv,fondo_b_med,fondo_f_claro,fondo_f_oscuro,fondo_f_verdoso,fondo_textura,frac_area_def,frac_blanca,frac_negra,frac_verde,hoja_L_desv,hoja_L_med,hoja_a_med,hoja_b_desv,hoja_b_med,hoja_entre_util,hoja_f_claro,hoja_f_oscuro,hoja_f_verdoso,hoja_textura,lado_L_desv,lado_L_med,lado_a_med,lado_abs_L_desv,lado_abs_L_med,lado_abs_a_med,lado_abs_b_desv,lado_abs_b_med,lado_abs_f_claro,lado_abs_f_oscuro,lado_abs_f_verdoso,lado_abs_textura,lado_b_desv,lado_b_med,lado_f_claro,lado_f_oscuro,lado_f_verdoso,lado_textura,largo_pulg,mancha_der_pulg2,mancha_izq_pulg2,mayor_diam_pulg,mayor_dist_base_pulg,mayor_mancha_pulg2,mayor_mancha_tipo,mayor_mancha_zona,mayor_mordida_pulg2,mayor_pulg2,mayor_tipo,mayor_zona,n_agujeros,n_blanca,n_defectos,n_en_marca,n_mordidas,n_negra,n_roturas,n_util,n_util_der,n_util_izq,n_verde,negra_der_pulg2,negra_izq_pulg2,pen_mordida_der_pulg,pen_mordida_izq_pulg,pen_mordida_pulg,punta_0.25,punta_0.25_norm,punta_0.5,punta_0.5_norm,punta_1,punta_1_norm,punta_2,punta_2_norm,solidez,sud_dens,sud_frac,sud_n,sud_verdor_med,sud_verdor_p95,v_area_def_pulg2,v_area_util_der_pulg2,v_area_util_izq_pulg2,v_area_util_pulg2,v_asim,v_n_agujeros,verde_der_pulg2,verde_izq_pulg2
20260918_170205370_iOS.heic,,,D:\tesis-tabaco\HABANO PARA PRUEBA DE SISTEMA\TABACO DE PRUEBA HABANO DESORDENADO\20260918_170205370_iOS.heic,7.216643920758876,0.0,0.0,0.0,1.0197,0.7021,1.7218,0.0,0.0,0.0,0.0,0.0,0.0,2.1362,0.0,-0.079,0.4551,0.40247849488412923,0.0,0.0,0.1731,0.0,0.0,0.0,70.37320709228516,99.1192626953125,0.9754085540771484,6.630710124969482,0.9056306481361389,0.13645750042446608,0.0,0.09081397356846094,41.3758544921875,0.0,0.0,0.0,0.02771,32.8896598815918,142.52325439453125,11.40768814086914,5.939722061157227,38.30187225341797,1.2421024784944765,0.037309688660226416,0.07873347746367095,0.08400609361174206,123.54891204833984,0.01715611860669485,-0.24898342311902105,0.11157724882591419,0.01715611860669485,0.24898342311902105,0.11157724882591419,0.1000186479802032,0.07012049933769518,0.12296333328735332,0.008213657373613263,0.16214816112088978,0.02037933638021938,0.1000186479802032,0.07012049933769518,-0.12296333328735332,-0.008213657373613263,0.16214816112088978,0.02037933638021938,15.240931902239952,0.2112,0.5639,nan,nan,0.8872,nan,nan,1.0197,nan,nan,nan,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.498,0.419,0.498,1.6764768078559784,0.23230698732877017,2.060136030723409,0.28547009570437176,3.01657442548653,0.4180023926092945,4.312101491340777,0.5975217204408406,0.9386,316.12748165486244,0.030538780830549173,146.0,-0.07662487030029297,1.611767053604126,0.0,0.0,0.0,0.0,0.0,0,0.2112,0.5639
20260918_170217088_iOS.heic,,,D:\tesis-tabaco\HABANO PARA PRUEBA DE SISTEMA\TABACO DE PRUEBA HABANO DESORDENADO\20260918_170217088_iOS.heic,7.075117705071845,0.0,0.0,0.1042,1.638,0.6743,2.3123,0.0,0.0,0.1042,0.0,0.1042,0.0,1.0237,-0.9999904031631174,-0.338,-0.4536,0.4039752102050812,0.0,0.0,0.1631,1.0,1.0,0.1042,64.63753509521484,104.96819305419922,1.1344352960586548,7.328512191772461,2.3221914768218994,0.1400627925958447,0.009535060205154666,0.011908264272038888,40.35158157348633,0.00143,0.0,0.0,0.0141,29.64552879333496,152.7288055419922,10.748373031616211,5.08964729309082,36.832427978515625,1.2274476394685454,0.025261324041811847,0.07288356243060076,0.053614503962936017,104.3435287475586,0.01788220052563884,-0.05597397379300184,-0.015122875116969046,0.01788220052563884,0.05597397379300184,0.015122875116969046,0.03178217089587413,0.13372377354417805,0.04171177724849495,0.018821289796822356,0.10392682787246907,0.0017874178725233924,0.03178217089587413,0.13372377354417805,-0.04171177724849495,-0.018821289796822356,-0.10392682787246907,0.0017874178725233924,14.594785204518088,0.4609,0.1733,0.364,9.752,0.2253,nan,nan,1.638,0.1042,nan,nan,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,12.0,0.0,0.0,0.656,0.318,0.656,1.7138696407399527,0.24223902868942435,2.1896334221450293,0.3094836741126407,2.927627206393858,0.41379201427209744,4.379266844290059,0.6189673482252814,0.9241,197.10967646185813,0.014644089492430989,85.0,-0.08838081359863281,1.1933635473251343,0.1042,0.1042,0.0,0.1042,-1.0,1,0.4609,0.1733
20260918_170229586_iOS.heic,,,D:\tesis-tabaco\HABANO PARA PRUEBA DE SISTEMA\TABACO DE PRUEBA HABANO DESORDENADO\20260918_170229586_iOS.heic,8.686879220532209,0.064,0.0,0.932,0.7094,1.2977,2.0071,0.0,0.1574,0.0,0.7106,0.7106,0.0,2.8655,0.9999985927405112,0.035,-0.6727,0.48325865533107615,0.0,0.0,0.2029,0.9339,0.6,0.7106,70.01721954345703,97.5833511352539,0.8813296556472778,5.526129722595215,-0.17052195966243744,0.14237259602644878,0.0,0.08319954110564858,41.6153564453125,0.01032,0.0,0.0,0.03172,31.130596160888672,150.33645629882812,9.42190170288086,4.875686168670654,34.88856506347656,1.1954518207702682,0.03648284130076428,0.07020830211299266,0.07210400119886108,106.66039276123047,0.051339278227839354,-0.3103694916330084,0.11867320029085418,0.051339278227839354,0.3103694916330084,0.11867320029085418,0.005259742779366789,0.27131081446505667,0.0849750435676948,0.11074643723530546,0.05514130250013293,0.014087838265931381,-0.005259742779366789,-0.27131081446505667,-0.0849750435676948,0.11074643723530546,-0.05514130250013293,0.014087838265931381,14.97969242196139,1.3628,0.2667,0.788,8.606,0.9433,nan,nan,1.2977,0.4875,nan,nan,5.0,0.0,6.0,0.0,2.0,0.0,1.0,4.0,0.0,4.0,16.0,0.0,0.0,0.454,0.489,0.489,1.8097765494774027,0.20833448969796145,2.548818362740482,0.293410130155387,3.549329527267596,0.4085851129227676,5.359106258284755,0.616919623518885,0.9301,190.94623863187928,0.01751795349277041,105.0,-0.05648517608642578,1.2834546566009521,0.821,0.0,0.6636,0.6636,1.0,3,1.3628,0.2667
20260918_170244122_iOS.heic,,,D:\tesis-tabaco\HABANO PARA PRUEBA DE SISTEMA\TABACO DE PRUEBA HABANO DESORDENADO\20260918_170244122_iOS.heic,8.986273860786019,0.1223,0.0,0.7655,0.4297,0.0,0.4297,0.0,0.0159,0.4252,0.0,0.4252,0.2021,0.7944,-0.9999976481711004,-0.414,-0.7632,0.4454329233430124,0.0,0.0,0.2464,1.0,0.6667,0.4252,70.65825653076172,102.57192993164062,0.9674539566040039,7.557744979858398,1.1893155574798584,0.14109828369502037,0.0,0.015656363567503658,44.34669876098633,0.00698,0.0,0.0,0.00724,32.458824157714844,146.14637756347656,8.857008934020996,4.93782901763916,34.48735046386719,1.2954404165858942,0.03165838887143459,0.07464053423531221,0.06142502857677627,105.8413314819336,-0.0642761444789982,-0.4768694750405635,0.018684397614456952,0.0642761444789982,0.4768694750405635,0.018684397614456952,0.12548684966223733,0.1376475103081703,0.45844261472167336,0.09079144499744568,0.06586621920991553,0.017807082972573537,-0.12548684966223733,-0.1376475103081703,0.45844261472167336,0.09079144499744568,0.06586621920991553,0.017807082972573537,16.475635129445894,0.5016,0.0674,0.736,12.652,0.1387,nan,nan,0.4297,0.4252,nan,nan,3.0,0.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,9.0,0.0,0.0,0.414,0.0,0.414,1.80981140511065,0.2013973125177322,2.310053462662348,0.25706466311280324,3.214483440285776,0.3577103803071286,4.763712497382629,0.5301098732557381,0.9172,109.49920391119319,0.011291735473598854,74.0,-0.037099361419677734,1.0274237394332886,0.6432,0.4252,0.0,0.4252,-1.0,2,0.5016,0.0674
20260918_170258405_iOS.heic,,,D:\tesis-tabaco\HABANO PARA PRUEBA DE SISTEMA\TABACO DE PRUEBA HABANO DESORDENADO\20260918_170258405_iOS.heic,9.32489561162344,0.2016,0.0,0.2854,1.8175,0.0,1.8175,0.0,0.0,0.0,0.0838,0.0838,0.0,0.4456,0.9999880669681745,-0.902,0.0,0.4624196585045935,0.0,0.0,0.2312,0.0,0.0,0.0838,71.35414123535156,99.96373748779297,1.3313615322113037,10.205116271972656,2.155395746231079,0.13000129000371458,0.0,0.000708724932352516,46.396400451660156,0.00277,0.0,0.0,0.00433,28.72334861755371,148.9633331298828,9.313911437988281,4.321750640869141,35.36783981323242,1.2760142578481315,0.037974150633604174,0.07156289030157593,0.03463422164217853,101.31781005859375,0.03163011725872479,-0.4023988620459095,0.20741869909728922,0.03163011725872479,0.4023988620459095,0.20741869909728922,0.10906258429316944,0.3209102841239592,0.12010860748291341,0.0013567023389274208,0.0024937294657854225,0.03936504839154289,0.10906258429316944,-0.3209102841239592,-0.12010860748291341,-0.0013567023389274208,-0.0024937294657854225,0.03936504839154289,16.132351538477355,0.0,0.0,0.48,2.068,0.3425,nan,nan,1.8175,0.1812,nan,nan,2.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.902,0.0,0.902,2.1521806811414117,0.23079943956248994,2.488460569120035,0.26686202964226,3.1585267149820564,0.33871979339317937,4.640641250261447,0.49766146920474996,0.8992,122.61341741110527,0.009205560598098695,77.0,-0.036452293395996094,0.9936352968215942,0.0204,0.0,0.0,0.0,0.0,0,0.0,0.0
20260918_170326094_iOS.heic,,,D:\tesis-tabaco\HABANO PARA PRUEBA DE SISTEMA\TABACO DE PRUEBA HABANO DESORDENADO\20260918_170326094_iOS.heic,11.433006427636961,0.4773,0.0,0.4773,0.372,1.2292,1.6012,0.0,0.0,0.0,0.0,0.0,0.0,3.781,0.0,0.104,0.5046,0.5040068880182803,0.0,0.0,0.3383,0.0,0.5,0.0,72.06486511230469,89.68550872802734,0.41933536529541016,2.893311023712158,-1.3859089612960815,0.14628385382150128,0.0,0.09325965273600391,39.99858474731445,0.00317,0.0,0.0,0.0251,30.118057250976562,152.60462951660156,9.403990745544434,4.317596435546875,32.9290885925293,1.3066628687610806,0.04543735665771212,0.06972758212561572,0.04693032643980729,101.93190002441406,0.07409484540693603,-0.13422571596049684,0.016154120046084578,0.07409484540693603,0.13422571596049684,0.016154120046084578,0.14875893758360348,0.27884615384615385,0.007341296254561112,0.021891541365822696,0.15022783968740275,0.09231332649819038,0.14875893758360348,0.27884615384615385,-0.007341296254561112,-0.021891541365822696,-0.15022783968740275,0.09231332649819038,18.903522120155177,0.3375,1.0248,0.499,4.161,1.8764,nan,nan,1.2292,0.1953,nan,nan,2.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,19.0,0.0,0.0,0.247,0.351,0.351,2.238342354210412,0.19577898152839973,2.9989917554506444,0.2623099859544549,4.070019678371708,0.3559885760698311,5.760103254056559,0.5038135236356278,0.9284,123.4591350263063,0.016893852579240715,117.0,-0.030836105346679688,1.0481927394866943,0.282,0.0,0.0,0.0,0.0,1,0.3375,1.0248
20260918_170348268_iOS.heic,,,D:\tesis-tabaco\HABANO PARA PRUEBA DE SISTEMA\TABACO DE PRUEBA HABANO DESORDENADO\20260918_170348268_iOS.heic,9.047910965070493,0.2401,0.0,0.3425,1.6765,0.7734,2.4499,0.0,0.1025,0.0,0.0,0.0,0.0,2.297,0.0,-1.814,-1.0,0.4962053783494654,0.0,0.0,0.2298,0.0,0.0,0.0,68.54840087890625,100.11939239501953,0.8511973023414612,5.457170009613037,-0.9580124020576477,0.14274826375457003,0.0,0.09762975132060005,41.5660400390625,0.00335,0.0,0.0,0.02245,28.573101043701172,151.58995056152344,9.689872741699219,4.192324638366699,35.19917297363281,1.2712042032114899,0.03847317076601701,0.07279658453899013,0.07838820624995604,97.23907470703125,0.06512401700841748,-0.24611993137227284,0.22753994509972883,0.06512401700841748,0.24611993137227284,0.22753994509972883,0.051716756279034604,0.21214334671452564,0.11846123466668959,0.06209005678863214,0.021542865306612678,0.08478406911089006,0.051716756279034604,0.21214334671452564,-0.11846123466668959,-0.06209005678863214,-0.021542865306612678,0.08478406911089006,17.626398895542923,0.9093,0.0,0.361,16.058,0.838,nan,nan,1.6765,0.1025,nan,nan,2.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,2.084,0.27,2.084,2.046864566824785,0.22622510043773822,2.713021617110183,0.29985060944828223,3.7606505177369933,0.4156374363380679,5.473626256715961,0.6049602253875975,0.9244,130.56867434580317,0.014696937368436138,82.0,-0.015057563781738281,1.068260908126831,0.184,0.0,0.0,0.0,0.0,0,0.9093,0.0
20260918_170410500_iOS.heic,,,D:\tesis-tabaco\HABANO PARA PRUEBA DE SISTEMA\TABACO DE PRUEBA HABANO DESORDENADO\20260918_170410500_iOS.heic,7.999357664003605,0.0453,0.0,0.0453,0.4988,0.9625,1.4613,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.0,0.34,-1.0,0.40015277530514276,0.0,0.0,0.2107,0.0,0.0,0.0,73.20337677001953,94.66732025146484,0.6035537719726562,7.017360210418701,1.1009526252746582,0.14476496396114072,0.0,0.044363835788154185,43.48047637939453,0.00048,0.0,0.0,0.00597,27.2729434967041,149.3072509765625,9.70970630645752,4.2955403327941895,36.43486404418945,1.2856001427341344,0.03548960135287136,0.06470355516596722,0.07335293341918067,95.4516372680664,0.11078718354194694,-0.3358965882425592,0.03407774587299122,0.11078718354194694,0.3358965882425592,0.03407774587299122,0.13967014501219227,0.28317655930281077,0.22628240900366428,0.05253854909849871,0.09159673228197661,0.11040615606379614,0.13967014501219227,-0.28317655930281077,-0.22628240900366428,-0.05253854909849871,-0.09159673228197661,0.11040615606379614,16.325786454822364,0.1642,0.0,0.188,0.935,0.1557,nan,nan,0.9625,0.0277,nan,nan,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.316,0.656,0.656,1.7850531946595123,0.22314956645732847,2.1895348460572523,0.2737138327880954,3.11746351130125,0.38971422984742354,5.2353317261469074,0.6544690143941723,0.9151,156.09324905467122,0.013657282363918256,89.0,-0.02644634246826172,1.171348214149475,0.0453,0.0,0.0,0.0,0.0,0,0.1642,0.0
20260918_170426760_iOS.heic,,,D:\tesis-tabaco\HABANO PARA PRUEBA DE SISTEMA\TABACO DE PRUEBA HABANO DESORDENADO\20260918_170426760_iOS.heic,9.069992008732585,0.1008,0.0,0.2225,0.0,0.5803,0.5803,0.0,0.0266,0.0,0.0951,0.0951,0.0,1.5559,0.999989484863461,0.403,-0.7229,0.4434490177056479,0.0,0.0,0.2448,1.0,1.0,0.0951,71.78080749511719,97.80944061279297,0.7177190184593201,5.275656223297119,-0.6333409547805786,0.14322288174287393,0.0,0.024724414584828127,42.46617126464844,0.00204,0.0,0.0,0.01428,29.548254013061523,145.267578125,9.770160675048828,4.573156833648682,34.880558013916016,1.3133477062467593,0.03676691318942226,0.06759135441967087,0.06546270774772808,106.8612060546875,0.03239334645741932,-0.23114016161458373,0.027923160217733917,0.03239334645741932,0.23114016161458373,0.027923160217733917,0.10380317652199278,0.07957037121224365,0.046667127428731754,0.016600025701848042,0.11974220181998141,0.03706769647532212,0.10380317652199278,0.07957037121224365,-0.046667127428731754,0.016600025701848042,-0.11974220181998141,0.03706769647532212,17.044409553661204,0.954,0.1534,0.358,1.314,0.3929,nan,nan,0.3527,0.1008,nan,nan,1.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.403,0.403,1.8085585992510727,0.19940024175432491,2.2133686560683135,0.2440320403741572,2.950931283395465,0.32535103454934794,4.378812268739794,0.48278016833133647,0.9369,142.85012789550512,0.014194243437450245,96.0,-0.040040016174316406,1.109212875366211,0.2225,0.0,0.0951,0.0951,1.0,1,0.954,0.1534
20260918_170440163_iOS.heic,,,D:\tesis-tabaco\HABANO PARA PRUEBA DE SISTEMA\TABACO DE PRUEBA HABANO DESORDENADO\20260918_170440163_iOS.heic,9.552563894085768,0.103,0.0,0.6251,0.304,1.8067,2.1108,0.0,0.1274,0.0623,0.3324,0.3946,0.0,0.5605,0.6843154691779346,0.518,-1.0,0.4680691431176926,0.0,0.0,0.2573,0.0,0.0,0.27009999999999995,69.89869689941406,94.56890106201172,0.43433552980422974,3.803921699523926,-1.4333059787750244,0.140379481794489,0.0,0.02416911262366843,38.52585220336914,0.00546,0.0,0.0,0.00489,31.047956466674805,153.4173126220703,9.375123977661133,4.914644241333008,34.92764663696289,1.3010427783420981,0.026018026821647614,0.07238373214354596,0.03672868476206396,110.85301971435547,0.10110092683166012,-0.3586449524639621,0.11130563292659688,0.10110092683166012,0.3586449524639621,0.11130563292659688,0.12355480735789433,0.314286279795505,0.12511451144895458,0.005334833920281152,0.27547286614716576,0.07421314076713385,0.12355480735789433,-0.314286279795505,-0.12511451144895458,-0.005334833920281152,0.27547286614716576,0.07421314076713385,17.007038444609748,0.359,0.0,0.651,16.126,0.1755,nan,nan,1.8067,0.3324,nan,nan,3.0,0.0,5.0,0.0,2.0,0.0,2.0,2.0,1.0,1.0,6.0,0.0,0.0,0.391,0.909,0.909,2.4756729086724722,0.25916318761345564,2.9989873984964883,0.31394580886846896,3.8327479427907525,0.4012271454330395,5.545414338024651,0.5805158070136496,0.9193,89.03360382590115,0.0068654801172417105,63.0,-0.03418588638305664,0.9702950119972229,0.103,0.0,0.0,0.0,0.0,0,0.359,0.0
