ruta,carpeta,archivo,variedad,clase,hoja_id,pulg_por_px,escala,base_dudosa,toca_borde,n_agujeros,n_roturas,n_defectos,area_def_pulg2,frac_area_def,mayor_pulg2,mayor_tipo,mayor_zona,mayor_dist_base_pulg,mayor_diam_pulg,n_util,area_util_pulg2,area_util_izq_pulg2,area_util_der_pulg2,n_util_izq,n_util_der,area_base_pulg2,area_punta_pulg2,area_vena_pulg2,n_mordidas,area_mordida_pulg2,area_mordida_izq_pulg2,area_mordida_der_pulg2,mayor_mordida_pulg2,pen_mordida_izq_pulg,pen_mordida_der_pulg,pen_mordida_pulg,asim_pen_mordida,n_en_marca,n_marcas
Connecticut/1-2_BANDA/20260824_180050810_iOS.heic,Connecticut/1-2_BANDA,20260824_180050810_iOS.heic,connecticut,media_banda,hoja_0000,0.020325,cinta,1,1,2,3,5,1.2901,0.01124,0.851,agujero,base,1.801,1.041,0,0.0,0.0,0.0,0,0,1.2901,0.0,0.0,2,1.6243,1.3934,0.2309,1.3934,0.653,0.338,0.653,0.315,0,0
Connecticut/1-2_BANDA/20260824_180108494_iOS.heic,Connecticut/1-2_BANDA,20260824_180108494_iOS.heic,connecticut,media_banda,hoja_0001,0.020325,cinta,0,0,0,2,2,0.1929,0.00195,0.1681,rotura,util_der,13.063,0.463,1,0.1681,0.0,0.1681,0,1,0.0,0.0248,0.0,3,3.0028,0.7948,2.208,2.208,0.338,1.572,1.572,-1.234,0,0
Connecticut/1-2_BANDA/20260824_180119388_iOS.heic,Connecticut/1-2_BANDA,20260824_180119388_iOS.heic,connecticut,media_banda,hoja_0002,0.020325,cinta,0,0,1,4,5,1.1881,0.01479,1.1063,agujero,base,3.881,1.187,2,0.043,0.0124,0.0306,1,1,1.1344,0.0107,0.0,3,3.5522,0.2169,3.3353,2.857,0.25,0.865,0.865,-0.615,0,0
Connecticut/1-2_BANDA/20260824_180137304_iOS.heic,Connecticut/1-2_BANDA,20260824_180137304_iOS.heic,connecticut,media_banda,hoja_0003,0.020325,cinta,0,0,5,9,14,1.8655,0.01781,0.7047,agujero,util_der,16.383,0.947,7,0.9266,0.0446,0.882,3,4,0.6535,0.0256,0.2598,6,3.6059,1.8213,1.7846,1.3657,0.427,0.724,0.724,-0.297,0,0
Connecticut/1-2_BANDA/20260824_180156902_iOS.heic,Connecticut/1-2_BANDA,20260824_180156902_iOS.heic,connecticut,media_banda,hoja_0004,0.020325,cinta,0,1,1,2,3,0.3904,0.00305,0.2929,agujero,punta,17.604,0.611,1,0.0855,0.0,0.0855,0,1,0.012,0.2929,0.0,2,0.7089,0.2644,0.4445,0.4445,0.308,0.604,0.604,-0.296,0,0
Connecticut/1-2_BANDA/20260824_180240572_iOS.heic,Connecticut/1-2_BANDA,20260824_180240572_iOS.heic,connecticut,media_banda,hoja_0005,0.020325,cinta,0,0,1,8,9,0.3078,0.00359,0.1119,agujero,base,0.442,0.378,5,0.1504,0.1334,0.0169,4,1,0.1268,0.0306,0.0,5,22.2852,20.437,1.8482,19.2873,4.231,0.52,4.231,3.711,0,0
Connecticut/1-2_BANDA/20260824_180257585_iOS.heic,Connecticut/1-2_BANDA,20260824_180257585_iOS.heic,connecticut,media_banda,hoja_0006,0.020325,cinta,1,1,2,6,8,0.9927,0.00774,0.385,agujero,base,1.003,0.7,4,0.2545,0.0694,0.1851,3,1,0.7382,0.0,0.0,6,9.6557,4.9241,4.7316,3.9504,1.378,1.113,1.378,0.265,0,0
Connecticut/1-2_BANDA/20260824_180314640_iOS.heic,Connecticut/1-2_BANDA,20260824_180314640_iOS.heic,connecticut,media_banda,hoja_0007,0.020325,cinta,1,0,1,15,16,0.8977,0.00846,0.2458,agujero,base,1.495,0.559,2,0.0264,0.0264,0.0,2,0,0.8468,0.0244,0.0,3,3.805,0.3631,3.4419,3.1387,0.33,1.434,1.434,-1.104,0,0
Connecticut/1-2_BANDA/20260824_180335975_iOS.heic,Connecticut/1-2_BANDA,20260824_180335975_iOS.heic,connecticut,media_banda,hoja_0008,0.020325,cinta,0,1,5,2,7,10.3901,0.08664,9.5689,agujero,util_der,8.677,3.49,3,9.7217,0.0587,9.6631,1,2,0.0,0.1528,0.5155,5,5.1529,1.2071,3.9459,2.6269,0.604,1.263,1.263,-0.659,0,0
Connecticut/1-2_BANDA/20260824_180407188_iOS.heic,Connecticut/1-2_BANDA,20260824_180407188_iOS.heic,connecticut,media_banda,hoja_0009,0.020325,cinta,1,0,1,3,4,0.4804,0.00431,0.4247,agujero,util_izq,11.81,0.735,1,0.4247,0.4247,0.0,1,0,0.0409,0.0149,0.0,2,0.872,0.872,0.0,0.4858,0.441,0.0,0.441,0.441,0,0
