orden;id;variedad;clase;caja_real;foto;obj;ancho_cinta
1;20260911_160812762_iOS;connecticut;xl_izq;3;fotos_muestra/xl_izq/20260911_160812762_iOS.heic;;49.4933
2;20260911_160413627_iOS;connecticut;xl_izq;3;fotos_muestra/xl_izq/20260911_160413627_iOS.heic;;49.4933
3;20260911_161114446_iOS;connecticut;xr_der;4;fotos_muestra/xr_der/20260911_161114446_iOS.heic;;48.9244
4;20260911_161042953_iOS;connecticut;xr_der;4;fotos_muestra/xr_der/20260911_161042953_iOS.heic;;48.9244
5;20260911_152855641_iOS;connecticut;capa;2;fotos_muestra/capa/20260911_152855641_iOS.heic;;43.8044
6;20260911_153551286_iOS;connecticut;capa;2;fotos_muestra/capa/20260911_153551286_iOS.heic;;43.8044
7;20260911_160352812_iOS;connecticut;xl_izq;3;fotos_muestra/xl_izq/20260911_160352812_iOS.heic;;49.4933
8;20260911_160151563_iOS;connecticut;xl_izq;3;fotos_muestra/xl_izq/20260911_160151563_iOS.heic;;49.4933
9;20260911_161335259_iOS;connecticut;xr_der;4;fotos_muestra/xr_der/20260911_161335259_iOS.heic;;48.9244
10;20260911_152611302_iOS;connecticut;capa;2;fotos_muestra/capa/20260911_152611302_iOS.heic;;43.8044
