ruta,carpeta,archivo,variedad,clase,hoja_id,hoja_L_med,hoja_L_desv,hoja_a_med,hoja_b_med,hoja_b_desv,hoja_f_oscuro,hoja_f_verdoso,hoja_f_claro,hoja_textura,lado_L_med,lado_L_desv,lado_a_med,lado_b_med,lado_b_desv,lado_f_oscuro,lado_f_verdoso,lado_f_claro,lado_textura,lado_abs_L_med,lado_abs_L_desv,lado_abs_a_med,lado_abs_b_med,lado_abs_b_desv,lado_abs_f_oscuro,lado_abs_f_verdoso,lado_abs_f_claro,lado_abs_textura,largo_pulg,ancho_pulg,aspecto,solidez,cobertura,hoja_entre_util,fondo_L_med,fondo_L_desv,fondo_a_med,fondo_b_med,fondo_b_desv,fondo_f_oscuro,fondo_f_verdoso,fondo_f_claro,fondo_textura
Connecticut/1-2_BANDA/20260824_180108494_iOS.heic,Connecticut/1-2_BANDA,20260824_180108494_iOS.heic,connecticut,media_banda,hoja_0001,180.7202,22.961,3.5146,35.3143,4.6691,0.078,0.0753,0.0309,72.2239,-0.5684,0.0239,-0.1194,-0.2128,-0.1721,0.048,-0.0599,0.3183,0.0103,0.5684,0.0239,0.1194,0.2128,0.1721,0.048,0.0599,0.3183,0.0103,17.0868,8.3762,0.433,0.9139,0.3044,1.3238,81.5302,57.5673,0.9837,-14.8295,6.7436,0.0,0.0781,0.1022,58.5972
Connecticut/1-2_BANDA/20260824_180119388_iOS.heic,Connecticut/1-2_BANDA,20260824_180119388_iOS.heic,connecticut,media_banda,hoja_0002,177.6369,28.6926,3.7512,35.1391,5.4151,0.075,0.0585,0.0313,79.6263,-1.1355,0.0787,-0.0819,-1.033,-0.1452,0.0088,-0.1499,0.2506,0.0341,1.1355,0.0787,0.0819,1.033,0.1452,0.0088,0.1499,0.2506,0.0341,15.8133,7.7172,0.4067,0.8991,0.2472,1.2845,79.5156,57.9593,0.9255,-12.0918,7.4476,0.0,0.0512,0.0852,50.7892
Connecticut/1-2_BANDA/20260824_180137304_iOS.heic,Connecticut/1-2_BANDA,20260824_180137304_iOS.heic,connecticut,media_banda,hoja_0003,190.0412,27.2384,1.3538,36.1115,7.6077,0.0688,0.0474,0.0104,73.0924,-0.5684,-0.0797,-0.0687,0.0207,-0.2779,0.1896,-0.1037,0.977,0.013,0.5684,0.0797,0.0687,0.0207,0.2779,0.1896,0.1037,0.977,0.013,15.1826,8.9781,0.4928,0.9131,0.3223,1.1919,76.0433,56.1054,3.1215,-15.3974,7.5286,0.0,0.1418,0.0963,49.7945
Connecticut/1-2_BANDA/20260824_180240572_iOS.heic,Connecticut/1-2_BANDA,20260824_180240572_iOS.heic,connecticut,media_banda,hoja_0005,187.031,25.888,4.7669,44.1369,5.1265,0.0839,0.0775,0.0174,75.2471,-0.5811,0.155,-0.2141,-0.1734,0.018,-0.0278,-0.1279,0.3363,0.099,0.5811,0.155,0.2141,0.1734,0.018,0.0278,0.1279,0.3363,0.099,15.6797,9.286,0.5429,0.7667,0.2637,1.3001,83.5859,60.3867,1.3233,-10.5542,6.3845,0.0,0.0534,0.0935,55.4987
Connecticut/1-2_BANDA/20260824_180416335_iOS.heic,Connecticut/1-2_BANDA,20260824_180416335_iOS.heic,connecticut,media_banda,hoja_0009,199.6972,21.5268,2.0924,29.5379,5.4877,0.0805,0.052,0.0197,69.7079,-0.3499,0.1297,0.0391,0.3071,0.003,0.0321,-0.1627,-0.0933,0.08,0.3499,0.1297,0.0391,0.3071,0.003,0.0321,0.1627,0.0933,0.08,16.3843,7.3819,0.3755,0.8929,0.2687,1.3243,73.1998,57.2452,2.0351,-14.527,7.7998,0.0,0.0464,0.0883,47.5001
Connecticut/1-2_BANDA/20260824_180445515_iOS.heic,Connecticut/1-2_BANDA,20260824_180445515_iOS.heic,connecticut,media_banda,hoja_0011,173.6412,26.9348,5.1121,36.8881,4.4706,0.0783,0.0684,0.0285,83.9288,-0.6604,0.0461,0.0922,-0.3974,-0.019,0.0645,-0.27,0.1219,0.0688,0.6604,0.0461,0.0922,0.3974,0.019,0.0645,0.27,0.1219,0.0688,15.8702,8.4345,0.434,0.8711,0.2885,1.2796,81.6722,60.7992,1.1345,-13.2312,6.4918,0.0,0.0565,0.104,56.3491
Connecticut/1-2_BANDA/20260824_180533425_iOS.heic,Connecticut/1-2_BANDA,20260824_180533425_iOS.heic,connecticut,media_banda,hoja_0014,180.5027,24.7658,5.6768,41.1875,6.7855,0.0811,0.0991,0.022,80.5237,-0.3495,0.1526,0.0019,0.2016,-0.1333,0.0332,-0.0044,-0.1292,0.0768,0.3495,0.1526,0.0019,0.2016,0.1333,0.0332,0.0044,0.1292,0.0768,15.9123,7.6697,0.4499,0.9037,0.2515,1.246,80.6182,62.2678,0.8866,-10.3039,5.9229,0.0,0.0286,0.094,53.9589
Connecticut/1-2_BANDA/20260824_180551649_iOS.heic,Connecticut/1-2_BANDA,20260824_180551649_iOS.heic,connecticut,media_banda,hoja_0015,172.8951,29.1089,4.053,34.4679,5.431,0.0873,0.0458,0.0112,75.5169,-0.8795,0.1558,0.1903,-0.6091,0.1019,-0.0002,-0.0642,0.2727,0.0914,0.8795,0.1558,0.1903,0.6091,0.1019,0.0002,0.0642,0.2727,0.0914,16.1116,9.7643,0.5252,0.9301,0.3607,1.2378,77.206,60.741,1.1683,-14.5941,7.3256,0.0,0.0607,0.1144,57.1431
Connecticut/1-2_BANDA/20260824_180714211_iOS.heic,Connecticut/1-2_BANDA,20260824_180714211_iOS.heic,connecticut,media_banda,hoja_0019,177.0683,26.9996,4.5373,33.6822,6.7831,0.078,0.079,0.0219,84.1805,-0.6869,0.0123,0.102,-0.3954,-0.3661,0.1209,-0.0255,0.5472,0.03,0.6869,0.0123,0.102,0.3954,0.3661,0.1209,0.0255,0.5472,0.03,16.6226,7.391,0.4002,0.9469,0.2818,1.3052,85.3647,60.6361,1.1574,-14.2316,6.1037,0.0,0.0669,0.1052,61.1001
Connecticut/1-2_BANDA/20260824_180735332_iOS.heic,Connecticut/1-2_BANDA,20260824_180735332_iOS.heic,connecticut,media_banda,hoja_0020,186.0572,25.6467,3.6235,36.4127,6.2252,0.0759,0.064,0.0215,80.7571,-0.7214,0.0067,0.2852,-0.0255,-0.3398,0.0199,0.0924,0.6104,0.0602,0.7214,0.0067,0.2852,0.0255,0.3398,0.0199,0.0924,0.6104,0.0602,16.4794,7.4159,0.4125,0.9348,0.2816,1.3043,86.035,56.9639,1.3164,-14.4085,5.7179,0.0615,0.0509,0.1066,59.8964
