ruta,carpeta,archivo,variedad,clase,hoja_id,estado,px_grad_sesion,n_marcas,px_grad,nitidez,ancho_cinta_px,largo_hoja_px,ancho_hoja_px,largo_anchos_cinta,ancho_anchos_cinta,largo_grad,ancho_grad,ancho_trabajo,alto_trabajo
Connecticut/1-2_BANDA/20260824_180050810_iOS.heic,Connecticut/1-2_BANDA,20260824_180050810_iOS.heic,connecticut,media_banda,hoja_0000,ok,52.5,16,52.0,0.232,96.0,1452,1838,,,27.66,35.01,1350,1800
Connecticut/1-2_BANDA/20260824_180108494_iOS.heic,Connecticut/1-2_BANDA,20260824_180108494_iOS.heic,connecticut,media_banda,hoja_0001,ok,52.5,13,52.0,0.421,97.0,1426,1697,,,27.16,32.32,1350,1800
Connecticut/1-2_BANDA/20260824_180119388_iOS.heic,Connecticut/1-2_BANDA,20260824_180119388_iOS.heic,connecticut,media_banda,hoja_0002,ok,52.5,23,65.0,0.241,93.0,1419,1634,,,27.03,31.12,1350,1800
Connecticut/1-2_BANDA/20260824_180137304_iOS.heic,Connecticut/1-2_BANDA,20260824_180137304_iOS.heic,connecticut,media_banda,hoja_0003,ok,52.5,23,105.0,0.211,88.0,1511,1770,,,28.78,33.71,1350,1800
Connecticut/1-2_BANDA/20260824_180156902_iOS.heic,Connecticut/1-2_BANDA,20260824_180156902_iOS.heic,connecticut,media_banda,hoja_0004,ok,52.5,12,57.0,0.508,104.0,1548,1794,,,29.49,34.17,1350,1800
Connecticut/1-2_BANDA/20260824_180240572_iOS.heic,Connecticut/1-2_BANDA,20260824_180240572_iOS.heic,connecticut,media_banda,hoja_0005,ok,52.5,17,77.0,0.19,92.0,1395,1493,,,26.57,28.44,1350,1800
Connecticut/1-2_BANDA/20260824_180257585_iOS.heic,Connecticut/1-2_BANDA,20260824_180257585_iOS.heic,connecticut,media_banda,hoja_0006,ok,52.5,14,56.0,0.382,101.0,1389,1749,,,26.46,33.31,1350,1800
Connecticut/1-2_BANDA/20260824_180314640_iOS.heic,Connecticut/1-2_BANDA,20260824_180314640_iOS.heic,connecticut,media_banda,hoja_0007,ok,52.5,11,119.5,0.226,94.0,1481,1514,,,28.21,28.84,1350,1800
Connecticut/1-2_BANDA/20260824_180335975_iOS.heic,Connecticut/1-2_BANDA,20260824_180335975_iOS.heic,connecticut,media_banda,hoja_0008,ok,52.5,20,50.0,0.25,89.0,1514,1856,,,28.84,35.35,1350,1800
Connecticut/1-2_BANDA/20260824_180407188_iOS.heic,Connecticut/1-2_BANDA,20260824_180407188_iOS.heic,connecticut,media_banda,hoja_0009,ok,52.5,17,73.5,0.242,94.0,1486,1639,,,28.3,31.22,1350,1800
Connecticut/1-2_BANDA/20260824_180416335_iOS.heic,Connecticut/1-2_BANDA,20260824_180416335_iOS.heic,connecticut,media_banda,hoja_0009,ok,52.5,19,52.5,0.206,88.0,1430,1647,,,27.24,31.37,1350,1800
Connecticut/1-2_BANDA/20260824_180428617_iOS.heic,Connecticut/1-2_BANDA,20260824_180428617_iOS.heic,connecticut,media_banda,hoja_0010,ok,52.5,12,55.0,0.274,97.0,1473,1571,,,28.06,29.92,1350,1800
Connecticut/1-2_BANDA/20260824_180445515_iOS.heic,Connecticut/1-2_BANDA,20260824_180445515_iOS.heic,connecticut,media_banda,hoja_0011,ok,52.5,10,92.0,0.404,104.0,1443,1704,,,27.49,32.46,1350,1800
Connecticut/1-2_BANDA/20260824_180503869_iOS.heic,Connecticut/1-2_BANDA,20260824_180503869_iOS.heic,connecticut,media_banda,hoja_0012,ok,52.5,17,78.5,0.452,99.0,1375,1794,,,26.19,34.17,1350,1800
Connecticut/1-2_BANDA/20260824_180520623_iOS.heic,Connecticut/1-2_BANDA,20260824_180520623_iOS.heic,connecticut,media_banda,hoja_0013,ok,52.5,12,62.5,0.259,105.0,1459,1695,,,27.79,32.29,1350,1800
Connecticut/1-2_BANDA/20260824_180533425_iOS.heic,Connecticut/1-2_BANDA,20260824_180533425_iOS.heic,connecticut,media_banda,hoja_0014,ok,52.5,11,76.5,0.339,111.0,1456,1572,,,27.73,29.94,1350,1800
Connecticut/1-2_BANDA/20260824_180551649_iOS.heic,Connecticut/1-2_BANDA,20260824_180551649_iOS.heic,connecticut,media_banda,hoja_0015,ok,52.5,11,91.5,0.209,111.0,1490,1754,,,28.38,33.41,1350,1800
Connecticut/1-2_BANDA/20260824_180608637_iOS.heic,Connecticut/1-2_BANDA,20260824_180608637_iOS.heic,connecticut,media_banda,hoja_0016,ok,52.5,7,95.0,0.453,104.0,1459,1782,,,27.79,33.94,1350,1800
Connecticut/1-2_BANDA/20260824_180633451_iOS.heic,Connecticut/1-2_BANDA,20260824_180633451_iOS.heic,connecticut,media_banda,hoja_0017,ok,52.5,15,135.0,0.277,104.0,1440,1801,,,27.43,34.3,1350,1800
