ruta,carpeta,archivo,variedad,clase,hoja_id,pulg_por_px,n_verde,n_blanca,n_negra,area_verde_pulg2,area_blanca_pulg2,area_negra_pulg2,frac_verde,frac_blanca,frac_negra,verde_izq_pulg2,verde_der_pulg2,blanca_izq_pulg2,blanca_der_pulg2,negra_izq_pulg2,negra_der_pulg2,mancha_izq_pulg2,mancha_der_pulg2,asimetria_mancha,mayor_mancha_pulg2,mayor_mancha_tipo,mayor_mancha_zona
Connecticut/1-2_BANDA/20260824_180050810_iOS.heic,Connecticut/1-2_BANDA,20260824_180050810_iOS.heic,connecticut,media_banda,hoja_0000,0.020325,35,0,0,3.7083,0.0,0.0,0.0323,0.0,0.0,0.6469,1.7523,0.0,0.0,0.0,0.0,0.6469,1.7523,-0.4607,0.4189,verde,vena
Connecticut/1-2_BANDA/20260824_180108494_iOS.heic,Connecticut/1-2_BANDA,20260824_180108494_iOS.heic,connecticut,media_banda,hoja_0001,0.020325,24,0,0,2.7714,0.0,0.0,0.02803,0.0,0.0,1.141,1.5156,0.0,0.0,0.0,0.0,1.141,1.5156,-0.141,0.5011,verde,util_der
Connecticut/1-2_BANDA/20260824_180119388_iOS.heic,Connecticut/1-2_BANDA,20260824_180119388_iOS.heic,connecticut,media_banda,hoja_0002,0.020325,13,1,0,1.2599,0.0446,0.0,0.01569,0.00056,0.0,0.3164,0.5428,0.0,0.0,0.0,0.0,0.3164,0.5428,-0.2635,0.3115,verde,util_der
Connecticut/1-2_BANDA/20260824_180137304_iOS.heic,Connecticut/1-2_BANDA,20260824_180137304_iOS.heic,connecticut,media_banda,hoja_0003,0.020325,25,0,0,14.8714,0.0,0.0,0.14201,0.0,0.0,10.286,4.5469,0.0,0.0,0.0,0.0,10.286,4.5469,0.3869,8.8584,verde,util_izq
Connecticut/1-2_BANDA/20260824_180156902_iOS.heic,Connecticut/1-2_BANDA,20260824_180156902_iOS.heic,connecticut,media_banda,hoja_0004,0.020325,45,0,0,7.2667,0.0,0.0,0.0568,0.0,0.0,2.2906,3.0424,0.0,0.0,0.0,0.0,2.2906,3.0424,-0.141,1.2525,verde,util_izq
Connecticut/1-2_BANDA/20260824_180240572_iOS.heic,Connecticut/1-2_BANDA,20260824_180240572_iOS.heic,connecticut,media_banda,hoja_0005,0.020325,32,0,0,5.4632,0.0,0.0,0.06377,0.0,0.0,3.665,1.3066,0.0,0.0,0.0,0.0,3.665,1.3066,0.4744,1.7015,verde,util_izq
Connecticut/1-2_BANDA/20260824_180257585_iOS.heic,Connecticut/1-2_BANDA,20260824_180257585_iOS.heic,connecticut,media_banda,hoja_0006,0.020325,24,0,0,17.0798,0.0,0.0,0.13315,0.0,0.0,9.3289,7.7509,0.0,0.0,0.0,0.0,9.3289,7.7509,0.0924,6.4162,verde,util_der
Connecticut/1-2_BANDA/20260824_180314640_iOS.heic,Connecticut/1-2_BANDA,20260824_180314640_iOS.heic,connecticut,media_banda,hoja_0007,0.020325,35,0,0,5.0534,0.0,0.0,0.04764,0.0,0.0,1.7982,1.1302,0.0,0.0,0.0,0.0,1.7982,1.1302,0.2281,1.728,verde,vena
Connecticut/1-2_BANDA/20260824_180335975_iOS.heic,Connecticut/1-2_BANDA,20260824_180335975_iOS.heic,connecticut,media_banda,hoja_0008,0.020325,17,1,0,6.6264,0.0405,0.0,0.05525,0.00034,0.0,4.5416,0.7113,0.0,0.0405,0.0,0.0,4.5416,0.7518,0.7159,3.9545,verde,util_izq
Connecticut/1-2_BANDA/20260824_180407188_iOS.heic,Connecticut/1-2_BANDA,20260824_180407188_iOS.heic,connecticut,media_banda,hoja_0009,0.020325,26,0,0,24.1722,0.0,0.0,0.21695,0.0,0.0,2.2216,21.4705,0.0,0.0,0.0,0.0,2.2216,21.4705,-0.8125,20.0144,verde,util_der
Connecticut/1-2_BANDA/20260824_180416335_iOS.heic,Connecticut/1-2_BANDA,20260824_180416335_iOS.heic,connecticut,media_banda,hoja_0009,0.020325,24,0,0,5.2426,0.0,0.0,0.06006,0.0,0.0,1.7916,2.9813,0.0,0.0,0.0,0.0,1.7916,2.9813,-0.2493,0.7481,verde,util_der
Connecticut/1-2_BANDA/20260824_180428617_iOS.heic,Connecticut/1-2_BANDA,20260824_180428617_iOS.heic,connecticut,media_banda,hoja_0010,0.020325,16,0,0,1.1269,0.0,0.0,0.01164,0.0,0.0,0.0644,0.6866,0.0,0.0,0.0,0.0,0.0644,0.6866,-0.8284,0.2053,verde,punta
Connecticut/1-2_BANDA/20260824_180445515_iOS.heic,Connecticut/1-2_BANDA,20260824_180445515_iOS.heic,connecticut,media_banda,hoja_0011,0.020325,24,0,0,3.4564,0.0,0.0,0.03688,0.0,0.0,0.3528,1.3008,0.0,0.0,0.0,0.0,0.3528,1.3008,-0.5733,1.16,verde,base
Connecticut/1-2_BANDA/20260824_180503869_iOS.heic,Connecticut/1-2_BANDA,20260824_180503869_iOS.heic,connecticut,media_banda,hoja_0012,0.020325,17,0,0,5.9027,0.0,0.0,0.07148,0.0,0.0,0.0252,4.3234,0.0,0.0,0.0,0.0,0.0252,4.3234,-0.9884,4.0277,verde,util_der
Connecticut/1-2_BANDA/20260824_180520623_iOS.heic,Connecticut/1-2_BANDA,20260824_180520623_iOS.heic,connecticut,media_banda,hoja_0013,0.020325,23,0,0,6.5141,0.0,0.0,0.06704,0.0,0.0,0.9832,5.0674,0.0,0.0,0.0,0.0,0.9832,5.0674,-0.675,3.8823,verde,util_der
Connecticut/1-2_BANDA/20260824_180533425_iOS.heic,Connecticut/1-2_BANDA,20260824_180533425_iOS.heic,connecticut,media_banda,hoja_0014,0.020325,25,0,0,3.5456,0.0,0.0,0.04339,0.0,0.0,2.4992,0.5655,0.0,0.0,0.0,0.0,2.4992,0.5655,0.6309,0.8332,verde,util_izq
Connecticut/1-2_BANDA/20260824_180551649_iOS.heic,Connecticut/1-2_BANDA,20260824_180551649_iOS.heic,connecticut,media_banda,hoja_0015,0.020325,19,0,0,1.2364,0.0,0.0,0.01055,0.0,0.0,0.2078,0.8287,0.0,0.0,0.0,0.0,0.2078,0.8287,-0.599,0.2929,verde,util_der
