ruta,carpeta,archivo,rot,voltea,base_invertida,margen_base,base_dudosa,largo_px,lamina_px,lamina_pulg,punta_px,base_px,ancho_max_px,ancho_cinta_px,largo_anchos,frac_base,frac_punta,frac_vena,frac_util,frac_util_izq,frac_util_der,escala
Connecticut/1-2_BANDA/20260824_180050810_iOS.heic,Connecticut/1-2_BANDA,20260824_180050810_iOS.heic,-2.99,0,0,1,1,986,937,19.04,112,165,440,54.6,18.06,0.0677,0.0771,0.1029,0.7774,0.3943,0.3831,cinta
Connecticut/1-2_BANDA/20260824_180108494_iOS.heic,Connecticut/1-2_BANDA,20260824_180108494_iOS.heic,-2.2,0,0,5,0,952,841,17.09,101,148,412,54.6,17.43,0.0906,0.0729,0.1219,0.7554,0.376,0.3794,cinta
Connecticut/1-2_BANDA/20260824_180119388_iOS.heic,Connecticut/1-2_BANDA,20260824_180119388_iOS.heic,-3.7,0,0,8,0,934,778,15.81,61,102,380,54.6,17.1,0.0858,0.032,0.1475,0.7785,0.3928,0.3858,cinta
Connecticut/1-2_BANDA/20260824_180137304_iOS.heic,Connecticut/1-2_BANDA,20260824_180137304_iOS.heic,-2.12,0,0,10,0,896,747,15.18,40,78,442,54.6,16.41,0.0578,0.022,0.0916,0.839,0.4246,0.4144,cinta
Connecticut/1-2_BANDA/20260824_180156902_iOS.heic,Connecticut/1-2_BANDA,20260824_180156902_iOS.heic,-2.86,0,0,4,0,945,819,16.64,90,135,511,54.6,17.3,0.1078,0.0685,0.0867,0.7608,0.381,0.3798,cinta
Connecticut/1-2_BANDA/20260824_180240572_iOS.heic,Connecticut/1-2_BANDA,20260824_180240572_iOS.heic,-2.74,0,0,3,0,842,771,15.68,56,97,457,54.6,15.41,0.1015,0.0316,0.1199,0.7692,0.3653,0.4039,cinta
Connecticut/1-2_BANDA/20260824_180257585_iOS.heic,Connecticut/1-2_BANDA,20260824_180257585_iOS.heic,-2.2,0,0,1,1,984,935,19.01,112,165,487,54.6,18.02,0.0911,0.0709,0.1,0.7685,0.3718,0.3967,cinta
Connecticut/1-2_BANDA/20260824_180314640_iOS.heic,Connecticut/1-2_BANDA,20260824_180314640_iOS.heic,-3.49,0,0,1,1,828,786,15.98,66,108,472,54.6,15.15,0.0569,0.0349,0.0964,0.8302,0.4196,0.4106,cinta
Connecticut/1-2_BANDA/20260824_180335975_iOS.heic,Connecticut/1-2_BANDA,20260824_180335975_iOS.heic,-2.53,0,0,6,0,966,870,17.67,104,153,495,54.6,17.69,0.0883,0.0548,0.0913,0.7879,0.3998,0.388,cinta
Connecticut/1-2_BANDA/20260824_180407188_iOS.heic,Connecticut/1-2_BANDA,20260824_180407188_iOS.heic,-2.98,0,0,2,1,905,845,17.17,101,149,446,54.6,16.57,0.0909,0.0801,0.1051,0.7568,0.3786,0.3781,cinta
Connecticut/1-2_BANDA/20260824_180416335_iOS.heic,Connecticut/1-2_BANDA,20260824_180416335_iOS.heic,-3.53,0,0,8,0,967,806,16.38,81,125,363,54.6,17.71,0.0917,0.0599,0.1452,0.7551,0.3707,0.3845,cinta
Connecticut/1-2_BANDA/20260824_180428617_iOS.heic,Connecticut/1-2_BANDA,20260824_180428617_iOS.heic,-2.32,0,0,2,1,842,786,15.97,66,108,405,54.6,15.41,0.0702,0.042,0.1138,0.8023,0.3965,0.4058,cinta
Connecticut/1-2_BANDA/20260824_180445515_iOS.heic,Connecticut/1-2_BANDA,20260824_180445515_iOS.heic,-2.54,0,0,9,0,956,781,15.87,63,104,415,54.6,17.51,0.0927,0.0371,0.1129,0.7815,0.3811,0.4004,cinta
Connecticut/1-2_BANDA/20260824_180503869_iOS.heic,Connecticut/1-2_BANDA,20260824_180503869_iOS.heic,-1.56,0,0,5,0,962,882,17.92,106,155,325,54.6,17.61,0.0735,0.0827,0.1405,0.742,0.3593,0.3828,cinta
Connecticut/1-2_BANDA/20260824_180520623_iOS.heic,Connecticut/1-2_BANDA,20260824_180520623_iOS.heic,-1.81,0,0,3,0,927,850,17.27,102,150,393,54.6,16.97,0.078,0.0839,0.126,0.7547,0.381,0.3737,cinta
Connecticut/1-2_BANDA/20260824_180533425_iOS.heic,Connecticut/1-2_BANDA,20260824_180533425_iOS.heic,-3.9,0,0,4,0,839,783,15.91,64,106,377,54.6,15.36,0.0608,0.0351,0.1317,0.8026,0.3946,0.4079,cinta
Connecticut/1-2_BANDA/20260824_180551649_iOS.heic,Connecticut/1-2_BANDA,20260824_180551649_iOS.heic,-3.05,0,0,6,0,915,793,16.11,71,114,480,54.6,16.75,0.0757,0.0461,0.0973,0.8079,0.4057,0.4022,cinta
Connecticut/1-2_BANDA/20260824_180608637_iOS.heic,Connecticut/1-2_BANDA,20260824_180608637_iOS.heic,-2.37,0,0,5,0,962,818,16.62,89,134,399,54.6,17.61,0.0633,0.075,0.1279,0.7675,0.3705,0.397,cinta
Connecticut/1-2_BANDA/20260824_180633451_iOS.heic,Connecticut/1-2_BANDA,20260824_180633451_iOS.heic,-0.9,0,0,6,0,971,842,17.11,101,148,399,54.6,17.78,0.109,0.0781,0.1201,0.7364,0.3661,0.3703,cinta
Connecticut/1-2_BANDA/20260824_180655421_iOS.heic,Connecticut/1-2_BANDA,20260824_180655421_iOS.heic,-3.38,0,0,3,0,1012,861,17.49,103,151,368,54.6,18.54,0.1259,0.0899,0.1298,0.6867,0.3986,0.2881,cinta
Connecticut/1-2_BANDA/20260824_180714211_iOS.heic,Connecticut/1-2_BANDA,20260824_180714211_iOS.heic,-2.34,0,0,4,0,909,818,16.62,89,135,364,54.6,16.64,0.0917,0.0544,0.1228,0.7662,0.3863,0.3799,cinta
Connecticut/1-2_BANDA/20260824_180735332_iOS.heic,Connecticut/1-2_BANDA,20260824_180735332_iOS.heic,-1.4,0,0,5,0,885,811,16.48,84,129,365,54.6,16.2,0.0814,0.0634,0.1156,0.7667,0.3891,0.3775,cinta
Connecticut/1-2_BANDA/20260824_180747669_iOS.heic,Connecticut/1-2_BANDA,20260824_180747669_iOS.heic,-3.68,0,0,5,0,1011,893,18.15,107,157,446,54.6,18.51,0.0838,0.0685,0.1087,0.7679,0.3749,0.393,cinta
Connecticut/1-2_BANDA/20260824_180806012_iOS.heic,Connecticut/1-2_BANDA,20260824_180806012_iOS.heic,-2.8,0,0,9,0,912,775,15.75,58,99,454,54.6,16.69,0.0726,0.0141,0.0971,0.8382,0.4167,0.4214,cinta
Connecticut/1-2_BANDA/20260824_180824338_iOS.heic,Connecticut/1-2_BANDA,20260824_180824338_iOS.heic,-3.74,0,0,8,0,955,764,15.53,51,91,486,54.6,17.48,0.0691,0.0306,0.1,0.8203,0.4051,0.4152,cinta
Connecticut/1-2_BANDA/20260824_180845941_iOS.heic,Connecticut/1-2_BANDA,20260824_180845941_iOS.heic,-3.39,0,0,4,0,980,882,17.92,106,155,475,54.6,17.94,0.0996,0.0602,0.0989,0.7723,0.3787,0.3935,cinta
Connecticut/1-2_BANDA/20260824_180847812_iOS.heic,Connecticut/1-2_BANDA,20260824_180847812_iOS.heic,0.0,0,0,0,1,1108,1071,21.77,129,189,722,54.6,20.29,0.1255,0.102,0.0523,0.7345,0.363,0.3714,cinta
Connecticut/1-2_BANDA/20260824_180859415_iOS.heic,Connecticut/1-2_BANDA,20260824_180859415_iOS.heic,-3.52,0,0,6,0,954,859,17.46,103,151,487,54.6,17.47,0.1005,0.0668,0.1007,0.7624,0.3773,0.3851,cinta
Connecticut/1-2_BANDA/20260824_180915149_iOS.heic,Connecticut/1-2_BANDA,20260824_180915149_iOS.heic,-3.09,0,0,9,0,986,772,15.69,57,97,416,54.6,18.05,0.0885,0.0424,0.1259,0.7696,0.4028,0.3668,cinta
Connecticut/1-2_BANDA/20260824_180938904_iOS.heic,Connecticut/1-2_BANDA,20260824_180938904_iOS.heic,-3.75,0,0,8,0,959,799,16.24,76,119,497,54.6,17.56,0.0812,0.0474,0.1018,0.7983,0.399,0.3993,cinta
Connecticut/1-2_BANDA/20260824_180957873_iOS.heic,Connecticut/1-2_BANDA,20260824_180957873_iOS.heic,-2.78,0,0,3,0,957,846,17.19,101,149,374,54.6,17.53,0.0902,0.0749,0.1242,0.7475,0.3637,0.3838,cinta
Connecticut/1-2_BANDA/20260824_181015122_iOS.heic,Connecticut/1-2_BANDA,20260824_181015122_iOS.heic,-3.71,0,0,4,0,899,809,16.44,83,127,426,54.6,16.46,0.0712,0.0522,0.1056,0.7972,0.3978,0.3994,cinta
Connecticut/1-2_BANDA/20260824_181034284_iOS.heic,Connecticut/1-2_BANDA,20260824_181034284_iOS.heic,-3.07,0,0,3,0,930,822,16.7,92,138,474,54.6,17.03,0.1093,0.0655,0.0975,0.7589,0.375,0.3839,cinta
