carpeta;archivo;clase_real;variedad_dicha;clase_dicha;conf_variedad;conf_calidad;acierto_medido;decision;veto;recipiente;segunda;ancho_cinta;ya_conocida;error
Capa;20260911_152039111_iOS.heic;capa;connecticut;capa;1.0;0.9958;0.9895522388059701;aceptar;False;2;xr_der;43.23555555555556;0;
Capa;20260911_152109562_iOS.heic;capa;connecticut;capa;1.0;0.9183;0.927148194271482;aceptar;False;2;xl_izq;43.80444444444444;0;
Capa;20260911_152135914_iOS.heic;capa;connecticut;capa;1.0;0.9155;0.9216757741347905;aceptar;False;2;media_banda;43.80444444444444;0;
Capa;20260911_152212891_iOS.heic;capa;connecticut;capa;1.0;0.8494;0.9005405405405406;aceptar;False;2;xr_der;48.92444444444445;0;
Capa;20260911_152256451_iOS.heic;capa;connecticut;capa;1.0;0.9571;0.9458303635067712;aceptar;False;2;xl_izq;46.08;0;
Capa;20260911_152319491_iOS.heic;capa;connecticut;capa;1.0;0.8958;0.918790752815649;aceptar;False;2;xr_der;50.63111111111111;0;
Capa;20260911_152350823_iOS.heic;capa;connecticut;capa;1.0;0.9985;0.9948186528497409;aceptar;False;2;xl_izq;42.09777777777778;0;
Capa;20260911_152419430_iOS.heic;capa;connecticut;capa;1.0;0.9888;0.9780104712041885;aceptar;False;2;xl_izq;42.09777777777778;0;
Capa;20260911_152444347_iOS.heic;capa;connecticut;capa;1.0;0.9205;0.927148194271482;aceptar;False;2;xr_der;42.666666666666664;0;
Capa;20260911_152508518_iOS.heic;capa;connecticut;capa;0.9863;0.6528;0.8623362144082611;aceptar;False;2;xr_der;38.684444444444445;0;
Capa;20260911_152530802_iOS.heic;capa;connecticut;capa;1.0;0.9194;0.927148194271482;aceptar;False;2;xr_der;39.82222222222222;0;
Capa;20260911_152551628_iOS.heic;capa;connecticut;media_banda;0.9995;0.8312;0.9003892400464981;aceptar;False;3;capa;40.96;0;
Capa;20260911_152611302_iOS.heic;capa;connecticut;capa;0.9984;0.9885;0.9778461549287846;aceptar;False;2;xr_der;39.25333333333333;0;
Capa;20260911_152643389_iOS.heic;capa;connecticut;capa;1.0;0.9871;0.9779116465863453;aceptar;False;2;xr_der;42.666666666666664;0;
Capa;20260911_152703289_iOS.heic;capa;connecticut;capa;1.0;0.9927;0.985594237695078;aceptar;False;2;banda;42.666666666666664;0;
Capa;20260911_152727389_iOS.heic;capa;connecticut;capa;1.0;0.9744;0.9641367806505421;aceptar;False;2;banda;42.09777777777778;0;
Capa;20260911_152749963_iOS.heic;capa;connecticut;xl_izq;0.9801;0.9318;0.9305293768333163;aceptar;False;4;capa;43.23555555555556;0;
Capa;20260911_152806900_iOS.heic;capa;connecticut;capa;1.0;0.8075;0.8947646747752512;aceptar;False;2;xr_der;44.373333333333335;0;
Capa;20260911_152827421_iOS.heic;capa;connecticut;xr_der;1.0;0.9845;0.974903474903475;aceptar;False;5;xl_izq;44.94222222222222;0;
Capa;20260911_152855641_iOS.heic;capa;connecticut;capa;0.9997;0.8;0.891765924391507;aceptar;False;2;xl_izq;42.09777777777778;0;
Capa;20260911_152920639_iOS.heic;capa;connecticut;media_banda;0.9979;0.9139;0.9215209226942437;aceptar;False;3;xl_izq;43.23555555555556;0;
Capa;20260911_152947681_iOS.heic;capa;connecticut;capa;0.999;0.5286;0.8413910471114732;aceptar;False;2;xl_izq;39.25333333333333;0;
Capa;20260911_153023678_iOS.heic;capa;connecticut;capa;1.0;0.9988;0.9942028985507246;aceptar;False;2;banda;42.09777777777778;0;
Capa;20260911_153047869_iOS.heic;capa;connecticut;capa;1.0;0.8569;0.9049198452183527;aceptar;False;2;banda;42.666666666666664;0;
Capa;20260911_153127039_iOS.heic;capa;connecticut;capa;1.0;0.7731;0.8874239350912779;aceptar;False;2;xl_izq;44.373333333333335;0;
Capa;20260911_153214748_iOS.heic;capa;connecticut;capa;1.0;0.9063;0.918790752815649;aceptar;False;2;xl_izq;46.64888888888889;0;
Capa;20260911_153235042_iOS.heic;capa;connecticut;capa;1.0;0.9181;0.927148194271482;aceptar;False;2;xl_izq;44.94222222222222;0;
Capa;20260911_153255450_iOS.heic;capa;connecticut;capa;1.0;0.7557;0.8874239350912779;aceptar;False;2;banda;41.528888888888886;0;
Capa;20260911_153352739_iOS.heic;capa;connecticut;capa;1.0;0.9095;0.9216757741347905;aceptar;False;2;xr_der;42.666666666666664;0;
Capa;20260911_153415582_iOS.heic;capa;connecticut;xl_izq;1.0;0.8791;0.9106840022611645;aceptar;False;4;media_banda;41.528888888888886;0;
Capa;20260911_153436996_iOS.heic;capa;connecticut;xl_izq;0.997;0.5878;0.8545495431563217;aceptar;False;4;capa;44.94222222222222;0;
Capa;20260911_153459626_iOS.heic;capa;connecticut;xr_der;1.0;0.6457;0.8627634660421546;aceptar;False;5;xl_izq;43.80444444444444;0;
Capa;20260911_153532688_iOS.heic;capa;connecticut;xr_der;1.0;0.9264;0.927148194271482;aceptar;False;5;xl_izq;47.78666666666667;0;
Capa;20260911_153551286_iOS.heic;capa;connecticut;media_banda;1.0;0.4687;0.830180748213535;aceptar;False;3;xl_izq;44.94222222222222;0;
