archivo,carpeta,clase,ruta,ancho_pulg,area_base_pulg2,area_blanca_pulg2,area_def_pulg2,area_mordida_der_pulg2,area_mordida_izq_pulg2,area_mordida_pulg2,area_negra_pulg2,area_punta_pulg2,area_util_der_pulg2,area_util_izq_pulg2,area_util_pulg2,area_vena_pulg2,area_verde_pulg2,asim_area_util,asim_pen_mordida,asimetria_mancha,aspecto,blanca_der_pulg2,blanca_izq_pulg2,cobertura,coc_area,coc_n,dif_area_util,fondo_L_desv,fondo_L_med,fondo_a_med,fondo_b_desv,fondo_b_med,fondo_f_claro,fondo_f_oscuro,fondo_f_verdoso,fondo_textura,frac_area_def,frac_blanca,frac_negra,frac_verde,hoja_L_desv,hoja_L_med,hoja_a_med,hoja_b_desv,hoja_b_med,hoja_entre_util,hoja_f_claro,hoja_f_oscuro,hoja_f_verdoso,hoja_textura,lado_L_desv,lado_L_med,lado_a_med,lado_abs_L_desv,lado_abs_L_med,lado_abs_a_med,lado_abs_b_desv,lado_abs_b_med,lado_abs_f_claro,lado_abs_f_oscuro,lado_abs_f_verdoso,lado_abs_textura,lado_b_desv,lado_b_med,lado_f_claro,lado_f_oscuro,lado_f_verdoso,lado_textura,largo_pulg,mancha_der_pulg2,mancha_izq_pulg2,mayor_diam_pulg,mayor_dist_base_pulg,mayor_mancha_pulg2,mayor_mancha_tipo,mayor_mancha_zona,mayor_mordida_pulg2,mayor_pulg2,mayor_tipo,mayor_zona,n_agujeros,n_blanca,n_defectos,n_en_marca,n_mordidas,n_negra,n_roturas,n_util,n_util_der,n_util_izq,n_verde,negra_der_pulg2,negra_izq_pulg2,pen_mordida_der_pulg,pen_mordida_izq_pulg,pen_mordida_pulg,punta_0.25,punta_0.25_norm,punta_0.5,punta_0.5_norm,punta_1,punta_1_norm,punta_2,punta_2_norm,solidez,sud_dens,sud_frac,sud_n,sud_verdor_med,sud_verdor_p95,v_area_def_pulg2,v_area_util_der_pulg2,v_area_util_izq_pulg2,v_area_util_pulg2,v_asim,v_n_agujeros,verde_der_pulg2,verde_izq_pulg2
20260911_152039111_iOS.heic,Capa,capa,out\SESION_11SEP\Capa\20260911_152039111_iOS.heic,9.299178303062142,0.1907,0.0,0.1907,0.3288,1.0049,1.3337,0.0,0.0,0.0,0.0,0.0,0.0,5.9492,0.0,0.114,-0.8566,0.518512911400989,0.0,0.0,0.2185,0.0,1.0,0.0,54.3574104309082,74.74263000488281,0.856230616569519,6.649345874786377,-8.671432495117188,0.07885628575738937,0.0,0.02122813939724501,38.36884307861328,0.00173,0.0,0.0,0.05392,16.17737579345703,204.4430389404297,2.2388854026794434,5.026942729949951,39.243350982666016,1.2557289839822285,0.04290161346895826,0.06749093885186484,0.05902168829650415,48.49319076538086,0.04923615066117852,-0.9253466679180024,0.3995818070560372,0.04923615066117852,0.9253466679180024,0.3995818070560372,0.08597144213116364,0.494153484882705,0.33489663963019295,0.11644912391829468,0.22280753266222475,0.0007422411026713619,-0.08597144213116364,-0.494153484882705,0.33489663963019295,-0.11644912391829468,0.22280753266222475,0.0007422411026713619,16.14089116921451,5.4855,0.4238,0.441,0.991,1.8884,nan,nan,0.4585,0.1528,nan,nan,1.0,0.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,21.0,0.0,0.0,0.302,0.416,0.416,1.953798429919528,0.2101044163521586,2.5638048869448826,0.27570230437463955,3.6545675582699966,0.3929989768092282,5.228821649179831,0.5622885677391543,0.9482,146.3018872943461,0.010886190431856572,88.0,0.008023262023925781,1.2698503732681274,0.1907,0.0,0.0,0.0,0.0,1,5.4855,0.4238
20260911_152109562_iOS.heic,Capa,capa,out\SESION_11SEP\Capa\20260911_152109562_iOS.heic,9.836091290046644,0.025,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0982,0.0,0.0,0.0,0.45024968062015336,0.0,0.0,0.2713,0.0,0.0,0.0,51.95771026611328,84.06770324707031,1.908848524093628,8.995000839233398,-14.192766189575195,0.09560332096615931,0.05789390220131292,0.061912958441669996,51.323944091796875,0.00018,0.0,0.0,0.00072,18.182218551635742,186.5891876220703,1.777607798576355,4.394965648651123,32.60189437866211,1.316399622415676,0.030527569208368553,0.07105001758358372,0.03730187619923126,53.200904846191406,0.15116112747048507,-1.0973498746789871,0.0575180773688712,0.15116112747048507,1.0973498746789871,0.0575180773688712,0.144422094208921,0.6437905280847347,0.11956568154990181,0.09950795253430149,0.34879076577314017,0.04873590289870198,-0.144422094208921,-0.6437905280847347,0.11956568154990181,-0.09950795253430149,-0.34879076577314017,0.04873590289870198,18.933078285879837,0.0,0.0,0.179,0.45,0.0982,nan,nan,nan,0.025,nan,nan,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.1544441424019927,0.21903458181423366,2.965200709058093,0.30146128392064075,3.9284105579574393,0.39938736253217616,5.2467613324716496,0.5334193408494452,0.9534,29.113584001291585,0.0033851158125138125,22.0,0.03695797920227051,0.8977336883544922,0.025,0.0,0.0,0.0,0.0,0,0.0,0.0
20260911_152135914_iOS.heic,Capa,capa,out\SESION_11SEP\Capa\20260911_152135914_iOS.heic,9.906949114489866,0.0,0.0424,0.0327,0.0,2.0413,2.0413,0.0,0.0327,0.0,0.0,0.0,0.0,2.5819,0.0,0.54,-1.0,0.4828963189047909,0.0,0.0,0.2577,0.0,0.0,0.0,50.2889404296875,78.58035278320312,2.629021406173706,8.795315742492676,-16.639041900634766,0.07975563277659455,0.08914826439487351,0.03798309855646477,47.02512741088867,0.00025,0.00033,0.0,0.01984,18.38836669921875,186.96157836914062,2.498241901397705,6.243049621582031,32.32453155517578,1.324732363436728,0.041651961360992376,0.07379449171927899,0.1112374678117198,49.45492935180664,0.03758023657869788,-1.1890050618205958,0.2376110587151972,0.03758023657869788,1.1890050618205958,0.2376110587151972,0.05745684474597225,0.9143597188768271,0.2831763400090681,0.049038857084794746,0.0650378783814511,0.010448685744544252,-0.05745684474597225,-0.9143597188768271,0.2831763400090681,-0.049038857084794746,-0.0650378783814511,0.010448685744544252,17.09640476751965,1.5398,0.0,0.204,20.036,0.5811,nan,nan,1.3016,0.0327,nan,nan,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.54,0.54,2.2819581058892338,0.23033913665223643,3.041209566128719,0.30697740858289635,4.181768517215531,0.4221045721431326,6.3357832780132055,0.6395292036724518,0.9219,54.684115105855824,0.004349490386111918,39.0,-0.012320756912231445,0.9375081658363342,0.0327,0.0,0.0,0.0,0.0,0,1.5398,0.0
20260911_152212891_iOS.heic,Capa,capa,out\SESION_11SEP\Capa\20260911_152212891_iOS.heic,9.533877012017488,0.662,0.0,0.662,0.5927,0.0,0.5927,0.0,0.0,0.0,0.0,0.0,0.0,3.4963,0.0,-0.278,-0.6743,0.4757116985618288,0.0,0.0,0.2427,0.0,1.0,0.0,52.45777893066406,87.26253509521484,1.3399693965911865,7.056902885437012,-11.090899467468262,0.09246038599543856,0.05035017859996352,0.06913343911056734,54.202293395996094,0.0054,0.0,0.0,0.02853,20.987104415893555,192.17739868164062,2.424821376800537,3.9049789905548096,38.81287384033203,1.3010142872723307,0.026202421201875888,0.07729850583487839,0.061041280401352385,62.83317565917969,0.17141752582290992,-0.8399126551911261,0.19056121104834586,0.17141752582290992,0.8399126551911261,0.19056121104834586,0.10812026871569767,0.3963594355560882,0.05838890784776374,0.03574736211258567,0.06610796547232316,0.03665438435442385,-0.10812026871569767,-0.3963594355560882,0.05838890784776374,-0.03574736211258567,-0.06610796547232316,0.03665438435442385,17.703141179995352,0.9375,0.1824,0.693,3.702,2.2821,nan,nan,0.3172,0.3776,nan,nan,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.278,0.0,0.278,2.509139060200035,0.26318139588304484,2.990535577009251,0.3136746544180998,3.725298946166968,0.3907433399309866,4.840921285090509,0.5077599888260054,0.9514,145.75633407946694,0.01320582132950599,98.0,0.0077953338623046875,1.3250648975372314,0.662,0.0,0.0,0.0,0.0,2,0.9375,0.1824
20260911_152256451_iOS.heic,Capa,capa,out\SESION_11SEP\Capa\20260911_152256451_iOS.heic,10.067098979826099,0.637,0.0,0.637,0.6524,0.8014,1.4537,0.0,0.0,0.0,0.0,0.0,0.0,1.3215,0.0,-0.016,0.2803,0.5034389963730174,0.0,0.0,0.2463,0.0,1.0,0.0,49.50495529174805,84.69818115234375,1.2024524211883545,8.112077713012695,-14.026457786560059,0.08037822399308228,0.050330214683744504,0.06372203140294228,46.71272659301758,0.00512,0.0,0.0,0.01062,17.558658599853516,191.87466430664062,1.651436686515808,4.885365009307861,33.441444396972656,1.2880245772460983,0.031472972343948455,0.07529441492721917,0.08453083127747152,55.46554183959961,0.10869175331021827,-1.0004177803674512,-0.08439531073258286,0.10869175331021827,1.0004177803674512,0.08439531073258286,0.23037277311843823,0.31132319208523124,0.07897490910967345,0.057721355874065794,0.2175208101393215,0.05151960871713123,-0.23037277311843823,-0.31132319208523124,0.07897490910967345,-0.057721355874065794,0.2175208101393215,0.05151960871713123,17.663717278384038,0.0552,0.0982,0.855,3.788,0.8681,nan,nan,0.8014,0.5747,nan,nan,1.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.446,0.43,0.446,2.1805552224834246,0.21660214395955923,2.6626129212317533,0.2644866139259662,3.600494088677617,0.3576496164280102,5.223931222767026,0.518911280522372,0.937,19.02657133866565,0.0022817249782292118,13.0,0.006085634231567383,0.9301115870475769,0.637,0.0,0.0,0.0,0.0,1,0.0552,0.0982
20260911_152319491_iOS.heic,Capa,capa,out\SESION_11SEP\Capa\20260911_152319491_iOS.heic,8.978108353429027,0.1791,0.0,0.1791,0.4726,1.5154,1.988,0.0,0.0,0.0,0.0,0.0,0.0,3.5464,0.0,0.344,-0.536,0.4111904619183865,0.0,0.0,0.2501,0.0,1.0,0.0,53.03164291381836,84.85243225097656,1.4425400495529175,7.330554485321045,-11.046142578125,0.088762323635177,0.054694193805589986,0.06401779843974299,51.77933883666992,0.00142,0.0,0.0,0.02808,20.179981231689453,192.72662353515625,2.9903383255004883,5.981908321380615,36.01302719116211,1.2700529578920177,0.029514337380521827,0.08002454146215449,0.08798114182381814,59.8353157043457,0.18454002390294164,-0.8267216578409965,0.15955321857659138,0.18454002390294164,0.8267216578409965,0.15955321857659138,0.03937376468997963,0.9693866968684105,0.08272437502229965,0.02557349909499207,0.22060207326972278,0.07033908260727383,-0.03937376468997963,-0.9693866968684105,-0.08272437502229965,0.02557349909499207,0.22060207326972278,0.07033908260727383,20.014891928459733,0.9522,0.2877,0.416,2.585,2.2063,nan,nan,1.5154,0.1361,nan,nan,1.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,11.0,0.0,0.0,0.451,0.795,0.795,1.8757654281405662,0.20892657498660633,2.407814281327384,0.2681872602270124,3.067004941500627,0.34160925896257865,4.53647290808814,0.5052815949091899,0.929,136.41990627662184,0.01090053102174156,94.0,0.03531503677368164,1.3335380554199219,0.1791,0.0,0.0,0.0,0.0,1,0.9522,0.2877
20260911_152350823_iOS.heic,Capa,capa,out\SESION_11SEP\Capa\20260911_152350823_iOS.heic,9.63034616352676,0.018,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8807,0.0,0.0,-0.8684,0.4849762508676939,0.0,0.0,0.2554,0.0,0.0,0.0,47.65611267089844,83.41096496582031,1.4070608615875244,8.319987297058105,-13.758392333984375,0.08465589457612449,0.04868832515492705,0.052924222507082966,47.76958465576172,0.00014,0.0,0.0,0.01458,18.963237762451172,190.7857666015625,1.272261381149292,4.482558250427246,35.84018325805664,1.2981368867979397,0.04254851655346676,0.07292831247051525,0.09113292533976128,54.28274154663086,0.029724287869319604,-0.96903642433997,0.05890928733743335,0.029724287869319604,0.96903642433997,0.05890928733743335,0.14202799211412398,0.29666087484147297,0.2845887585379772,0.021671996396163903,0.11443181588373828,0.07031876451885587,-0.14202799211412398,-0.29666087484147297,0.2845887585379772,-0.021671996396163903,-0.11443181588373828,-0.07031876451885587,18.53353245623239,1.6592,0.1169,0.151,2.302,1.012,nan,nan,nan,0.018,nan,nan,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,2.1286969057151253,0.22104053889331518,2.8131632754555,0.2921144502686581,3.877690170105402,0.40265324883039727,5.601346246607893,0.5816349850249418,0.9748,70.28849208692156,0.004773994382543712,50.0,-0.0038458257913589478,1.1380195617675781,0.018,0.0,0.0,0.0,0.0,0,1.6592,0.1169
20260911_152419430_iOS.heic,Capa,capa,out\SESION_11SEP\Capa\20260911_152419430_iOS.heic,9.230325677178126,0.0905,0.0,0.0905,0.3885,0.5252,0.9137,0.0,0.0,0.0,0.0,0.0,0.0,0.1246,0.0,0.17,0.0,0.4454996745376961,0.0,0.0,0.2165,0.0,0.0,0.0,50.47917175292969,84.62251281738281,1.5759037733078003,8.771576881408691,-14.57651138305664,0.08146700188178499,0.06265219202111004,0.0528860623269077,47.80438995361328,0.00083,0.0,0.0,0.00114,18.970497131347656,188.60475158691406,3.185716390609741,4.375410079956055,33.54364013671875,1.3060447990181037,0.032563669837373424,0.07695612150966555,0.04920220926664621,52.45261001586914,0.13594510654759565,-1.1268308357808825,0.1258833465927048,0.13594510654759565,1.1268308357808825,0.1258833465927048,0.09107214313582901,0.171764731524973,0.08627003085655661,0.07677294525144515,0.033411044891201794,0.029623902073397226,-0.09107214313582901,-0.171764731524973,0.08627003085655661,-0.07677294525144515,0.033411044891201794,0.029623902073397226,16.575232180372062,0.0,0.0,0.34,2.727,0.1246,nan,nan,0.5252,0.0905,nan,nan,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.416,0.586,0.586,2.1086706327540536,0.22845029595951502,2.6160285937321652,0.28341671629206605,3.657722285428605,0.39627228912109586,5.284318013237669,0.5724952941046364,0.9162,64.56052124126097,0.0070489895428945204,38.0,0.00869607925415039,1.0859848260879517,0.0905,0.0,0.0,0.0,0.0,0,0.0,0.0
20260911_152444347_iOS.heic,Capa,capa,out\SESION_11SEP\Capa\20260911_152444347_iOS.heic,10.39033729689462,0.8155,0.0,0.9946,0.7481,1.0203,1.7684,0.0,0.1791,0.0,0.0,0.0,0.0,2.5839,0.0,0.197,-0.557,0.4964894896536425,0.0,0.0,0.2852,0.0,1.0,0.0,49.60456848144531,81.83920288085938,2.6030800342559814,7.848670482635498,-18.364086151123047,0.08849332830043045,0.047449215358027284,0.05113587314376442,50.265254974365234,0.00691,0.0,0.0,0.01794,15.379486083984375,188.41624450683594,2.5538599491119385,4.676762580871582,34.227561950683594,1.3080264984079961,0.04828495119021239,0.06884104454111802,0.07881293663474884,52.26483917236328,0.07685962692728034,-0.6195890506096775,0.3258260040241104,0.07685962692728034,0.6195890506096775,0.3258260040241104,0.028707969988848267,0.4647625246714836,0.06879921766866155,0.043152547868941765,0.4501022903694894,0.022707073668786038,-0.028707969988848267,-0.4647625246714836,-0.06879921766866155,0.043152547868941765,0.4501022903694894,0.022707073668786038,18.834846984834964,1.2547,0.357,0.922,4.57,0.6794,nan,nan,1.0203,0.6678,nan,nan,1.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,15.0,0.0,0.0,0.287,0.484,0.484,2.356729276768573,0.22681932351444772,2.9141934223763357,0.2804714937644331,3.7759048838120006,0.36340541946992544,5.3721040286027,0.5170288389202025,0.9385,60.62780087809265,0.0036111433898013932,48.0,-0.025264054536819458,1.1143081188201904,0.9946,0.0,0.0,0.0,0.0,1,1.2547,0.357
20260911_152508518_iOS.heic,Capa,capa,out\SESION_11SEP\Capa\20260911_152508518_iOS.heic,11.075375917670016,0.0758,0.0,0.0758,0.2279,0.0,0.2279,0.0,0.0,0.0,0.0,0.0,0.0,1.2309,0.0,-0.243,-0.7954,0.5361962470719294,0.0,0.0,0.2884,0.0,0.0,0.0,50.5972900390625,85.06548309326172,2.640202283859253,10.183378219604492,-16.198612213134766,0.08995666159315195,0.044672553310340236,0.04750654688388826,48.21494674682617,0.00052,0.0,0.0,0.00845,15.88279914855957,188.86029052734375,2.198204517364502,3.88179087638855,31.103662490844727,1.2945275448999276,0.03634796801789719,0.07540106036308018,0.0844809186008686,52.23836898803711,0.08232957723630052,-0.6599252734515401,0.3134136224434111,0.08232957723630052,0.6599252734515401,0.3134136224434111,0.10430535690230974,0.2842765900326452,0.21014395708173314,0.06555995937076062,0.1716763075903823,0.03726336801788424,-0.10430535690230974,-0.2842765900326452,0.21014395708173314,-0.06555995937076062,0.1716763075903823,0.03726336801788424,18.245649388073364,0.7551,0.086,0.253,1.789,0.2517,nan,nan,0.2279,0.0501,nan,nan,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.243,0.0,0.243,2.43259642437681,0.21964007745288053,3.1674431179250995,0.28598967127351926,4.231837389531075,0.38209424411314685,6.360358753374645,0.5742792660632965,0.9583,85.1935993678388,0.006111714737258001,69.0,-0.001462101936340332,1.0710774660110474,0.0758,0.0,0.0,0.0,0.0,0,0.7551,0.086
